date,3244205535
2015-01-01,8.84
2015-01-02,12.86
2015-01-03,18.57
2015-01-04,7.91
2015-01-05,7.43
2015-01-06,11.07
2015-01-07,25.97
2015-01-08,18.67
2015-01-09,15.57
2015-01-11,8.67
2015-01-12,8.26
2015-02-01,8.99
2015-02-02,9.02
2015-02-03,14.66
2015-02-04,6.74
2015-02-05,11.19
2015-02-06,10.3
2015-02-07,18.1
2015-02-08,15.81
2015-02-09,13.78
2015-02-11,9.57
2015-02-12,8.46
2015-03-01,12.99
2015-03-02,8.24
2015-03-03,11.28
2015-03-04,7.62
2015-03-05,13.28
2015-03-06,26.04
2015-03-07,15.03
2015-03-08,17.69
2015-03-09,15.23
2015-03-11,9.12
2015-03-12,9.84
2015-04-01,9.3
2015-04-02,10.39
2015-04-03,14.73
2015-04-04,8.32
2015-04-05,10.02
2015-04-06,17.01
2015-04-07,16.2
2015-04-08,20.36
2015-04-09,30.22
2015-04-11,11.85
2015-04-12,8.81
2015-05-01,11.98
2015-05-02,12.08
2015-05-03,21.15
2015-05-04,9.96
2015-05-05,13.94
2015-05-06,11.12
2015-05-07,16.35
2015-05-08,23.42
2015-05-09,24.86
2015-05-11,13.23
2015-05-12,11.42
2015-06-01,10.74
2015-06-02,9.7
2015-06-03,12.9
2015-06-04,10.47
2015-06-05,14.45
2015-06-06,11.3
2015-06-07,19.27
2015-06-08,17.49
2015-06-09,25.05
2015-06-11,12.58
2015-06-12,11.07
2015-07-01,11.65
2015-07-02,11.17
2015-07-03,13.08
2015-07-04,8.45
2015-07-05,10.4
2015-07-06,11.57
2015-07-07,12.49
2015-07-08,17.83
2015-07-09,19.41
2015-07-11,14.29
2015-07-12,12.57
2015-08-01,8.82
2015-08-02,10.18
2015-08-03,13.65
2015-08-04,18.76
2015-08-05,11.52
2015-08-06,8.64
2015-08-07,7.26
2015-08-08,16.48
2015-08-09,16.63
2015-08-11,14.58
2015-08-12,10.1
2015-09-01,7.43
2015-09-02,10.48
2015-09-03,11.05
2015-09-04,9.41
2015-09-05,9.71
2015-09-06,16.74
2015-09-07,14.79
2015-09-08,19.16
2015-09-09,20.1
2015-09-11,12.72
2015-09-12,11.83
2015-10-01,10.03
2015-10-02,13.23
2015-10-03,17.29
2015-10-04,11.81
2015-10-05,13.18
2015-10-06,8.79
2015-10-07,14.31
2015-10-08,21.22
2015-10-09,19.31
2015-10-11,9.32
2015-10-12,7.39
2015-11-01,17.27
2015-11-02,16.99
2015-11-03,16.91
2015-11-04,13.02
2015-11-05,8.05
2015-11-06,19.86
2015-11-07,16.94
2015-11-08,15.41
2015-11-09,14.83
2015-11-11,8.81
2015-11-12,7.72
2015-12-01,13.77
2015-12-02,9.03
2015-12-03,12.18
2015-12-04,11.53
2015-12-05,6.34
2015-12-06,10.54
2015-12-07,22.19
2015-12-08,10.44
2015-12-09,16.28
2015-12-11,7.96
2015-12-12,9.39
